Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(113272k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:MaxNewSize=34955264 -XX:MaxTenuringThreshold=6 -XX:NewSize=34955264 -XX:OldPLABSize=16 -XX:OldSize=69902336 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
0.373: [GC (Allocation Failure) 0.373: [ParNew: 27328K->2562K(30720K), 0.0044525 secs] 27328K->2562K(99008K), 0.0045409 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.516: [GC (Allocation Failure) 0.516: [ParNew: 29890K->2176K(30720K), 0.0076018 secs] 29890K->3894K(99008K), 0.0076812 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.602: [GC (Allocation Failure) 0.602: [ParNew: 29504K->1554K(30720K), 0.0017511 secs] 31222K->3272K(99008K), 0.0018183 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.673: [GC (Allocation Failure) 0.673: [ParNew: 28882K->2286K(30720K), 0.0020566 secs] 30600K->4004K(99008K), 0.0021247 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.750: [GC (Allocation Failure) 0.751: [ParNew: 29614K->2127K(30720K), 0.0026275 secs] 31332K->4220K(99008K), 0.0026927 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
0.829: [GC (Allocation Failure) 0.829: [ParNew: 29455K->2538K(30720K), 0.0031418 secs] 31548K->4632K(99008K), 0.0032062 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.923: [GC (Allocation Failure) 0.923: [ParNew: 29866K->2344K(30720K), 0.0055468 secs] 31960K->5144K(99008K), 0.0056257 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.020: [GC (Allocation Failure) 1.020: [ParNew: 29672K->2701K(30720K), 0.0031253 secs] 32472K->5871K(99008K), 0.0031934 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.125: [GC (Allocation Failure) 1.125: [ParNew: 30029K->2448K(30720K), 0.0032760 secs] 33199K->6400K(99008K), 0.0033549 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.214: [GC (Allocation Failure) 1.214: [ParNew: 29776K->2113K(30720K), 0.0027918 secs] 33728K->6628K(99008K), 0.0028624 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.290: [GC (Allocation Failure) 1.290: [ParNew: 29441K->1401K(30720K), 0.0026375 secs] 33956K->6225K(99008K), 0.0027164 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.295: [GC (CMS Initial Mark) [1 CMS-initial-mark: 4824K(68288K)] 8986K(99008K), 0.0014311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.296: [CMS-concurrent-mark-start]
1.306: [CMS-concurrent-mark: 0.010/0.010 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.306: [CMS-concurrent-preclean-start]
1.307: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.307: [CMS-concurrent-abortable-preclean-start]
1.376: [GC (Allocation Failure) 1.376: [ParNew: 28729K->1599K(30720K), 0.0019291 secs] 33553K->6424K(99008K), 0.0019970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.515: [CMS-concurrent-abortable-preclean: 0.062/0.208 secs] [Times: user=0.74 sys=0.02, real=0.21 secs] 
1.515: [GC (CMS Final Remark) [YG occupancy: 23436 K (30720 K)]1.515: [Rescan (parallel) , 0.0038839 secs]1.519: [weak refs processing, 0.0000305 secs]1.519: [class unloading, 0.0032035 secs]1.522: [scrub symbol table, 0.0020962 secs]1.524: [scrub string table, 0.0001990 secs][1 CMS-remark: 4824K(68288K)] 28261K(99008K), 0.0098821 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.525: [CMS-concurrent-sweep-start]
1.528: [CMS-concurrent-sweep: 0.003/0.003 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.528: [CMS-concurrent-reset-start]
1.528: [CMS-concurrent-reset: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.568: [GC (Allocation Failure) 1.568: [ParNew: 28927K->3390K(30720K), 0.0029791 secs] 33575K->8051K(99008K), 0.0030482 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.729: [GC (Allocation Failure) 1.729: [ParNew: 30718K->2880K(30720K), 0.0071355 secs] 35379K->9799K(99008K), 0.0072212 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.891: [GC (Allocation Failure) 1.892: [ParNew: 30208K->1376K(30720K), 0.0026783 secs] 37127K->9076K(99008K), 0.0027486 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.986: [GC (Allocation Failure) 1.986: [ParNew: 28704K->1515K(30720K), 0.0019174 secs] 36404K->9215K(99008K), 0.0019762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.141: [GC (Allocation Failure) 2.141: [ParNew: 28843K->2724K(30720K), 0.0028358 secs] 36543K->10424K(99008K), 0.0029038 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.248: [GC (Allocation Failure) 2.248: [ParNew: 30052K->2879K(30720K), 0.0053152 secs] 37752K->11593K(99008K), 0.0053863 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.427: [GC (Allocation Failure) 2.427: [ParNew: 30207K->3392K(30720K), 0.0054586 secs] 38921K->15502K(99008K), 0.0055298 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.553: [GC (Allocation Failure) 2.554: [ParNew: 30720K->3239K(30720K), 0.0059614 secs] 42830K->18743K(99008K), 0.0060314 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.653: [GC (Allocation Failure) 2.653: [ParNew: 30567K->1726K(30720K), 0.0027861 secs] 46071K->17231K(99008K), 0.0028599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.736: [GC (Allocation Failure) 2.736: [ParNew: 29054K->2386K(30720K), 0.0029665 secs] 44559K->17891K(99008K), 0.0030928 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.832: [GC (Allocation Failure) 2.832: [ParNew: 29714K->2661K(30720K), 0.0044561 secs] 45219K->18944K(99008K), 0.0045287 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.919: [GC (Allocation Failure) 2.919: [ParNew: 29989K->3391K(30720K), 0.0052655 secs] 46272K->20301K(99008K), 0.0053390 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.017: [GC (Allocation Failure) 3.017: [ParNew: 30719K->3170K(30720K), 0.0062937 secs] 47629K->21295K(99008K), 0.0063580 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
3.097: [GC (Allocation Failure) 3.097: [ParNew: 30498K->1590K(30720K), 0.0037266 secs] 48623K->20853K(99008K), 0.0037866 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.221: [GC (Allocation Failure) 3.221: [ParNew: 28918K->1837K(30720K), 0.0026146 secs] 48181K->21100K(99008K), 0.0026752 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
14.217: [GC (Allocation Failure) 14.218: [ParNew: 29159K->3391K(30720K), 0.0043199 secs] 48422K->22785K(99008K), 0.0055353 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
14.494: [GC (Allocation Failure) 14.496: [ParNew: 30719K->3392K(30720K), 0.0124745 secs] 50113K->28837K(99008K), 0.0143927 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
14.695: [GC (Allocation Failure) 14.695: [ParNew: 30720K->3392K(30720K), 0.0087849 secs] 56165K->32318K(99008K), 0.0088991 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
14.900: [GC (Allocation Failure) 14.900: [ParNew: 30720K->2890K(30720K), 0.0045083 secs] 59646K->34371K(99008K), 0.0046265 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
15.131: [GC (Allocation Failure) 15.131: [ParNew: 30218K->1901K(30720K), 0.0051523 secs] 61699K->33381K(99008K), 0.0052516 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.342: [GC (Allocation Failure) 15.342: [ParNew: 29229K->1903K(30720K), 0.0040413 secs] 60709K->33383K(99008K), 0.0041640 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.541: [GC (Allocation Failure) 15.541: [ParNew: 29231K->1762K(30720K), 0.0054763 secs] 60711K->33242K(99008K), 0.0056353 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.746: [GC (Allocation Failure) 15.746: [ParNew: 29090K->2527K(30720K), 0.0069545 secs] 60570K->34007K(99008K), 0.0070523 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
15.956: [GC (Allocation Failure) 15.956: [ParNew: 29855K->2061K(30720K), 0.0033793 secs] 61335K->33541K(99008K), 0.0034818 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.159: [GC (Allocation Failure) 16.159: [ParNew: 29384K->1764K(30720K), 0.0044267 secs] 60865K->33958K(99008K), 0.0045412 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
16.375: [GC (Allocation Failure) 16.375: [ParNew: 29092K->659K(30720K), 0.0033430 secs] 61286K->33216K(99008K), 0.0034883 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
