Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(58756k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=104857600 -XX:MaxHeapSize=104857600 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.381: [GC (Allocation Failure) [PSYoungGen: 25600K->2650K(29696K)] 25600K->2666K(98304K), 0.0031371 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.526: [GC (Allocation Failure) [PSYoungGen: 28250K->2862K(29696K)] 28266K->2886K(98304K), 0.0029081 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.597: [GC (Allocation Failure) [PSYoungGen: 28462K->2974K(29696K)] 28486K->3006K(98304K), 0.0024533 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.674: [GC (Allocation Failure) [PSYoungGen: 28574K->3629K(29696K)] 28606K->3669K(98304K), 0.0030232 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.763: [GC (Allocation Failure) [PSYoungGen: 29229K->4013K(29696K)] 29269K->4061K(98304K), 0.0040017 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
0.826: [GC (Allocation Failure) [PSYoungGen: 29613K->3712K(28672K)] 29661K->3768K(97280K), 0.0033025 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.907: [GC (Allocation Failure) [PSYoungGen: 28288K->2656K(29184K)] 28344K->4743K(97792K), 0.0057700 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.986: [GC (Allocation Failure) [PSYoungGen: 27232K->2286K(29184K)] 29319K->4980K(97792K), 0.0022379 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.062: [GC (Allocation Failure) [PSYoungGen: 26862K->2418K(29184K)] 29556K->5784K(97792K), 0.0084775 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.152: [GC (Allocation Failure) [PSYoungGen: 26994K->1851K(29184K)] 30360K->5859K(97792K), 0.0022798 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.225: [GC (Allocation Failure) [PSYoungGen: 26427K->1794K(29184K)] 30435K->6345K(97792K), 0.0032568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
