Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(406036k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=524288000 -XX:MaxHeapSize=524288000 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.785: [GC (Allocation Failure) 0.785: [DefNew: 136576K->6463K(153600K), 0.0107053 secs] 136576K->6463K(494976K), 0.0107916 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.181: [GC (Allocation Failure) 1.181: [DefNew: 143039K->9729K(153600K), 0.0163927 secs] 143039K->9729K(494976K), 0.0164824 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
1.273: [Full GC (Metadata GC Threshold) 1.273: [Tenured: 0K->5622K(341376K), 0.0247403 secs] 35428K->5622K(494976K), [Metaspace: 20537K->20537K(1067008K)], 0.0248313 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
1.996: [GC (Allocation Failure) 1.996: [DefNew: 136576K->6165K(153600K), 0.0103401 secs] 142198K->11787K(494976K), 0.0104274 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2.625: [GC (Allocation Failure) 2.625: [DefNew: 142741K->12664K(153600K), 0.0161780 secs] 148363K->18286K(494976K), 0.0162576 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
3.162: [GC (Allocation Failure) 3.162: [DefNew: 149240K->4454K(153600K), 0.0346842 secs] 154862K->20438K(494976K), 0.0347637 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
8.012: [Full GC (Metadata GC Threshold) 8.012: [Tenured: 15984K->20606K(341376K), 0.0528068 secs] 110229K->20606K(494976K), [Metaspace: 33886K->33886K(1081344K)], 0.0529346 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
9.106: [GC (Allocation Failure) 9.106: [DefNew: 136576K->10512K(153600K), 0.0124585 secs] 157182K->31118K(494976K), 0.0127584 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
10.003: [GC (Allocation Failure) 10.003: [DefNew: 147088K->345K(153600K), 0.0175235 secs] 167694K->30795K(494976K), 0.0176513 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
10.865: [GC (Allocation Failure) 10.865: [DefNew: 136921K->368K(153600K), 0.0061813 secs] 167371K->30818K(494976K), 0.0062786 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.679: [GC (Allocation Failure) 11.679: [DefNew: 136944K->696K(153600K), 0.0072081 secs] 167394K->31147K(494976K), 0.0073233 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
12.519: [GC (Allocation Failure) 12.521: [DefNew: 137272K->630K(153600K), 0.0062326 secs] 167723K->31080K(494976K), 0.0082106 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
13.331: [GC (Allocation Failure) 13.331: [DefNew: 137206K->1299K(153600K), 0.0050094 secs] 167656K->31750K(494976K), 0.0051171 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
14.079: [GC (Allocation Failure) 14.079: [DefNew: 137875K->668K(153600K), 0.0083310 secs] 168326K->31118K(494976K), 0.0084546 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
14.836: [GC (Allocation Failure) 14.836: [DefNew: 137244K->661K(153600K), 0.0057251 secs] 167694K->31111K(494976K), 0.0058498 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.545: [GC (Allocation Failure) 15.545: [DefNew: 137237K->635K(153600K), 0.0068306 secs] 167687K->31085K(494976K), 0.0069522 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.266: [GC (Allocation Failure) 16.266: [DefNew: 137211K->599K(153600K), 0.0070957 secs] 167661K->31049K(494976K), 0.0072281 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
16.966: [GC (Allocation Failure) 16.966: [DefNew: 137175K->621K(153600K), 0.0085181 secs] 167625K->31071K(494976K), 0.0086446 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
17.665: [GC (Allocation Failure) 17.665: [DefNew: 137197K->591K(153600K), 0.0070094 secs] 167647K->31041K(494976K), 0.0071397 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
18.309: [GC (Allocation Failure) 18.309: [DefNew: 137167K->522K(153600K), 0.0057946 secs] 167617K->30972K(494976K), 0.0059201 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.873: [GC (Allocation Failure) 18.873: [DefNew: 137098K->524K(153600K), 0.0048004 secs] 167548K->30974K(494976K), 0.0049353 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
19.375: [GC (Allocation Failure) 19.375: [DefNew: 137100K->519K(153600K), 0.0040534 secs] 167550K->30969K(494976K), 0.0041366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.843: [GC (Allocation Failure) 19.844: [DefNew: 137095K->494K(153600K), 0.0038455 secs] 167545K->30944K(494976K), 0.0039365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.355: [GC (Allocation Failure) 20.355: [DefNew: 137070K->445K(153600K), 0.0044612 secs] 167520K->30917K(494976K), 0.0045967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.785: [GC (Allocation Failure) 20.785: [DefNew: 137021K->389K(153600K), 0.0044546 secs] 167493K->30950K(494976K), 0.0045530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.165: [GC (Allocation Failure) 21.165: [DefNew: 136965K->311K(153600K), 0.0038541 secs] 167526K->30998K(494976K), 0.0039331 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.519: [GC (Allocation Failure) 21.519: [DefNew: 136887K->250K(153600K), 0.0033722 secs] 167574K->30945K(494976K), 0.0034691 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.825: [GC (Allocation Failure) 21.825: [DefNew: 136826K->201K(153600K), 0.0031300 secs] 167521K->30910K(494976K), 0.0032256 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.084: [GC (Allocation Failure) 22.084: [DefNew: 136777K->220K(153600K), 0.0032210 secs] 167486K->30930K(494976K), 0.0033189 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.319: [GC (Allocation Failure) 22.319: [DefNew: 136796K->199K(153600K), 0.0031430 secs] 167506K->30913K(494976K), 0.0032276 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.550: [GC (Allocation Failure) 22.550: [DefNew: 136775K->203K(153600K), 0.0044882 secs] 167489K->30920K(494976K), 0.0046109 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
22.791: [GC (Allocation Failure) 22.792: [DefNew: 136779K->214K(153600K), 0.0039390 secs] 167496K->30933K(494976K), 0.0040371 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.030: [GC (Allocation Failure) 23.030: [DefNew: 136790K->200K(153600K), 0.0032501 secs] 167509K->30927K(494976K), 0.0033519 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
23.255: [GC (Allocation Failure) 23.255: [DefNew: 136776K->180K(153600K), 0.0042743 secs] 167503K->30911K(494976K), 0.0043862 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.489: [GC (Allocation Failure) 23.489: [DefNew: 136756K->178K(153600K), 0.0036088 secs] 167487K->30913K(494976K), 0.0037089 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
23.738: [GC (Allocation Failure) 23.738: [DefNew: 136754K->193K(153600K), 0.0042916 secs] 167489K->30932K(494976K), 0.0044069 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.971: [GC (Allocation Failure) 23.971: [DefNew: 136769K->195K(153600K), 0.0032789 secs] 167508K->30941K(494976K), 0.0033738 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
24.208: [GC (Allocation Failure) 24.208: [DefNew: 136771K->185K(153600K), 0.0044706 secs] 167517K->30937K(494976K), 0.0045878 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
24.437: [GC (Allocation Failure) 24.437: [DefNew: 136761K->154K(153600K), 0.0043331 secs] 167513K->30908K(494976K), 0.0044579 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.674: [GC (Allocation Failure) 24.674: [DefNew: 136730K->161K(153600K), 0.0031865 secs] 167484K->30924K(494976K), 0.0032746 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
24.908: [GC (Allocation Failure) 24.908: [DefNew: 136737K->136K(153600K), 0.0033127 secs] 167500K->30915K(494976K), 0.0034176 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.133: [GC (Allocation Failure) 25.134: [DefNew: 136712K->134K(153600K), 0.0031178 secs] 167491K->30916K(494976K), 0.0032134 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.381: [GC (Allocation Failure) 25.381: [DefNew: 136710K->139K(153600K), 0.0031038 secs] 167492K->30925K(494976K), 0.0032033 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
